axis;index;value
vertical_x;855;9
vertical_x;856;7
vertical_x;857;6
vertical_x;858;6
vertical_x;859;6
vertical_x;860;3
vertical_x;861;1
vertical_x;862;0
vertical_x;863;0
vertical_x;864;0
vertical_x;865;0
vertical_x;866;0
vertical_x;867;0
vertical_x;868;0
vertical_x;869;0
vertical_x;870;0
vertical_x;871;0
vertical_x;872;3
vertical_x;873;5
vertical_x;874;6
vertical_x;875;6
vertical_x;876;7
vertical_x;877;8
vertical_x;878;9
vertical_x;879;12
vertical_x;880;12
vertical_x;881;9
vertical_x;882;6
vertical_x;883;5
vertical_x;884;4
vertical_x;885;5
vertical_x;886;25
vertical_x;887;25
vertical_x;888;25
vertical_x;889;25
vertical_x;890;5
vertical_x;891;4
vertical_x;892;5
vertical_x;893;6
vertical_x;894;9
vertical_x;895;11
vertical_x;896;11
vertical_x;897;10
vertical_x;898;8
vertical_x;899;7
vertical_x;900;6
vertical_x;901;6
vertical_x;902;6
vertical_x;903;3
vertical_x;904;0
vertical_x;905;0
vertical_x;906;2
vertical_x;907;2
vertical_x;908;4
vertical_x;909;25
vertical_x;910;25
vertical_x;911;25
vertical_x;912;25
vertical_x;913;4
vertical_x;914;3
vertical_x;915;3
vertical_x;916;3
vertical_x;917;3
vertical_x;918;3
vertical_x;919;3
vertical_x;920;4
vertical_x;921;7
vertical_x;922;12
vertical_x;923;6
vertical_x;924;9
vertical_x;925;3
vertical_x;926;1
vertical_x;927;0
vertical_x;928;2
vertical_x;929;2
vertical_x;930;2
vertical_x;931;4
vertical_x;932;25
vertical_x;933;25
vertical_x;934;25
vertical_x;935;25
vertical_x;936;3
vertical_x;937;2
vertical_x;938;2
vertical_x;939;1
vertical_x;940;1
vertical_x;941;1
vertical_x;942;1
vertical_x;943;2
vertical_x;944;2
vertical_x;945;2
vertical_x;946;5
vertical_x;947;25
vertical_x;948;25
vertical_x;949;25
vertical_x;950;6
vertical_x;951;2
vertical_x;952;2
vertical_x;953;2
vertical_x;954;0
vertical_x;955;0
vertical_x;956;0
vertical_x;957;0
vertical_x;958;0
vertical_x;959;0
vertical_x;960;0
vertical_x;961;0
vertical_x;962;0
vertical_x;963;0
vertical_x;964;0
vertical_x;965;2
vertical_x;966;2
vertical_x;967;4
vertical_x;968;25
vertical_x;969;25
vertical_x;970;25
vertical_x;971;25
vertical_x;972;3
vertical_x;973;2
vertical_x;974;2
vertical_x;975;1
vertical_x;976;1
vertical_x;977;1
vertical_x;978;2
vertical_x;979;2
vertical_x;980;4
vertical_x;981;25
vertical_x;982;25
vertical_x;983;25
vertical_x;984;25
vertical_x;985;3
vertical_x;986;2
vertical_x;987;1
vertical_x;988;1
vertical_x;989;1
vertical_x;990;1
vertical_x;991;2
vertical_x;992;2
vertical_x;993;5
vertical_x;994;25
vertical_x;995;25
vertical_x;996;25
vertical_x;997;4
vertical_x;998;2
vertical_x;999;2
vertical_x;1000;0
vertical_x;1001;0
vertical_x;1002;1
vertical_x;1003;1
vertical_x;1004;2
vertical_x;1005;4
vertical_x;1006;6
vertical_x;1007;6
vertical_x;1008;5
vertical_x;1009;5
vertical_x;1010;5
vertical_x;1011;5
vertical_x;1012;5
vertical_x;1013;5
